Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
An efficient in-memory analytics system based on persistent memory,https://ieeexplore.ieee.org/abstract/document/10020461/,2022,1,"""Optane"" ""Data+Structure""",Yes,,,,
Detectable sequential specifications for recoverable shared objects,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.DISC.2021.29,2021,13,"""Optane"" ""Data+Structure""",Yes,,,,
"Tutorial: Specifying, Implementing, and Verifying Algorithms for Persistent Memory",https://dl.acm.org/doi/abs/10.1145/3293611.3338025,2019,0,"""Optane"" ""Data+Structure""",Yes,,,,
Cache-line transactions: Building blocks for persistent kernel data structures enabled by AspectC++,https://dl.acm.org/doi/abs/10.1145/3365137.3365396,2019,5,"""Optane"" ""Data+Structure""",Yes,,,,
A NUMA-aware NVM file system design for manycore server applications,https://ieeexplore.ieee.org/abstract/document/9285968/,2020,7,"""Optane"" ""Data+Structure""",Yes,,,,
Workload-driven placement of column-store data structures on DRAM and NVM,https://dl.acm.org/doi/abs/10.1145/3465998.3466008,2021,11,"""Optane"" ""Data+Structure""",Yes,,,,
Evaluation of Intel 3D-Xpoint NVDIMM technology for memory-intensive genomic workloads,https://dl.acm.org/doi/abs/10.1145/3357526.3357528,2019,23,"""Optane"" ""Data+Structure""",Yes,,,,
Developing Index Structures in Persistent Memory Using Spot-on Optimizations with DRAM,https://dl.acm.org/doi/abs/10.1145/3629526.3645032,2024,0,"""Optane"" ""Data+Structure""",Yes,,,,
Buffered hash table: Leveraging dram to enhance hash indexes in the persistent memory,https://ieeexplore.ieee.org/abstract/document/9898543/,2022,1,"""Optane"" ""Data+Structure""",Yes,,,,
Poster: KDB: A Persistent Key-Value Data Store with Batch Updates and Snapshots,http://www.cs.put.poznan.pl/pawelw/pdf/middleware24b.pdf,2024,0,"""Optane"" ""Data+Structure""",Yes,,,,
An Efficient Bucket Logging for Persistent Memory,https://link.springer.com/chapter/10.1007/978-3-030-85896-4_13,2021,0,"""Optane"" ""Data+Structure""",Yes,,,,
Graph preprocessing for in-memory vertex-centric graph computation on the Intel Optane DC persistent memory module,https://dspace.mit.edu/handle/1721.1/129228,2020,0,"""Optane"" ""Data+Structure""",Yes,,,,
Intel Optane Data Center Persistent Memory,https://ieeexplore.ieee.org/abstract/document/8875668/,,0,"""Optane"" ""Data+Structure""",No,,,,
Evaluating persistent memory range indexes: Part two,https://dl.acm.org/doi/abs/10.14778/3551793.3551808,2022,24,"""Optane"" ""Data+Structure""",Yes,,,,
Brief announcement: Detectable sequential specifications for recoverable shared objects,https://dl.acm.org/doi/abs/10.1145/3465084.3467943,2021,13,"""Optane"" ""Data+Structure""",Yes,,,,
A multi-hashing index for hybrid dram-nvm memory systems,https://www.sciencedirect.com/science/article/pii/S1383762122001047,2022,14,"""Optane"" ""Data+Structure""",Yes,,,,
Editorial for the special issue on memory architectures and systems for modern applications,https://link.springer.com/article/10.1007/s42514-022-00133-9,2022,0,"""Optane"" ""Data+Structure""",Yes,,,,
DeNOVA: Deduplication extended nova file system,https://ieeexplore.ieee.org/abstract/document/9820647/,2022,11,"""Optane"" ""Data+Structure""",Yes,,,,
PMap: A non-volatile lock-free hash map with open addressing,https://ieeexplore.ieee.org/abstract/document/9628805/,2021,5,"""Optane"" ""Data+Structure""",Yes,,,,
Optimizing memory-mapped {I/O} for fast storage devices,https://www.usenix.org/conference/atc20/presentation/papagiannis,2020,63,"""Optane"" ""Data+Structure""",Yes,,,,
Metall: A persistent memory allocator for data-centric analytics,https://www.sciencedirect.com/science/article/pii/S0167819122000114,2022,14,"""Optane"" ""Data+Structure""",Yes,,,,
A brief primer on Persistent Memory Objects [4],https://derrickgreenspan.github.io/2023_extended_abstract_PMO.pdf,,0,"""Optane"" ""Data+Structure""",No,,,,
Single-node partitioned-memory for huge graph analytics: cost and performance trade-offs,https://dl.acm.org/doi/abs/10.1145/3458817.3476156,2021,8,"""Optane"" ""Data+Structure""",Yes,,,,
KLOCs: kernel-level object contexts for heterogeneous memory systems,https://dl.acm.org/doi/abs/10.1145/3445814.3446745,2021,27,"""Optane"" ""Data+Structure""",Yes,,,,
Jaaru: Efficiently Model Checking Persistent Memory Programs Extended Abstract,https://asplos-conference.org/abstracts/asplos21-paper544-extended_abstract.pdf,,0,"""Optane"" ""Data+Structure""",No,,,,
NBTree: a lock-free PM-friendly persistent B+-tree for eADR-enabled PM systems,https://dl.acm.org/doi/abs/10.14778/3514061.3514066,2022,37,"""Optane"" ""Data+Structure""",Yes,,,,
System measurement of Intel AEP Optane DIMM,https://arxiv.org/abs/2009.14469,2009,2,"""Optane"" ""Data+Structure""",No,,,,
PerMA-bench: benchmarking persistent memory access,https://dl.acm.org/doi/abs/10.14778/3551793.3551807,2022,26,"""Optane"" ""Data+Structure""",Yes,,,,
