Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
Characterizing the performance of intel optane persistent memory: A close look at its on-dimm buffering,https://dl.acm.org/doi/abs/10.1145/3492321.3519556,2022,65,"""Optane"" ""File+System""",Yes,,,,
Performance evaluation of intel optane memory for managed workloads,https://dl.acm.org/doi/abs/10.1145/3451342,2021,28,"""Optane"" ""File+System""",Yes,,,,
An Empirical Performance Evaluation of Multiple Intel Optane Solid-State Drives,https://www.mdpi.com/2079-9292/10/11/1325,2021,0,"""Optane"" ""File+System""",Yes,,,,
PROFS: CPU Profile-based Tiering File System for All Flash Storage System,http://nvmw.ucsd.edu/nvmw2020-program/unzip/current3/nvmw2020-final8.pdf,,0,"""Optane"" ""File+System""",No,,,,
Simurgh: a fully decentralized and secure NVMM user space file system,https://dl.acm.org/doi/abs/10.1145/3458817.3476180,2021,20,"""Optane"" ""File+System""",Yes,,,,
ctFS: Converting File Index Traversals to Hardware Memory Translation through Contiguous File Allocation for Persistent Memory,https://www.usenix.org/sites/default/files/login_0.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
Nova-fortis: A fault-tolerant non-volatile main memory file system,https://dl.acm.org/doi/abs/10.1145/3132747.3132761,2017,215,"""Optane"" ""File+System""",No,,,,
FusionFS: A Contention-Resilient File System for Persistent CPU Caches,https://dl.acm.org/doi/abs/10.1145/3719656,2025,0,"""Optane"" ""File+System""",Yes,,,,
File systems as processes,https://www.usenix.org/conference/hotstorage19/presentation/liu,2019,35,"""Optane"" ""File+System""",Yes,,,,
PetaKV: building efficient key-value store for file system metadata on persistent memory,https://ieeexplore.ieee.org/abstract/document/9999527/,2022,4,"""Optane"" ""File+System""",Yes,,,,
Revisiting persistent indexing structures on Intel Optane DC persistent memory,https://link.springer.com/article/10.1007/s11390-020-9871-0,2021,8,"""Optane"" ""File+System""",Yes,,,,
{SingularFS}: A {Billion-Scale} distributed file system using a single metadata server,https://www.usenix.org/conference/atc23/presentation/guo,2023,12,"""Optane"" ""File+System""",Yes,,,,
Analyzing and Improving CPU and Energy Efficiency of PM File Systems,https://dl.acm.org/doi/abs/10.1145/3609308.3625265,2023,3,"""Optane"" ""File+System""",Yes,,,,
An efficient in-memory analytics system based on persistent memory,https://ieeexplore.ieee.org/abstract/document/10020461/,2022,1,"""Optane"" ""File+System""",Yes,,,,
Accelerating I/O performance of ZFS-based Lustre file system in HPC environment,https://link.springer.com/article/10.1007/s11227-022-04966-7,2023,3,"""Optane"" ""File+System""",Yes,,,,
Numa-aware thread migration for high performance nvmm file systems,https://msstconference.org/MSST-history/2020/Papers/16.NUMAaware.pdf,2020,12,"""Optane"" ""File+System""",Yes,,,,
Performance benefits of Intel® Optane™ DC persistent memory for the parallel processing of large neuroimaging data,https://ieeexplore.ieee.org/abstract/document/9139615/,2020,3,"""Optane"" ""File+System""",Yes,,,,
An Empirical Study of NVM-based File System,https://ieeexplore.ieee.org/abstract/document/9628430/,2021,1,"""Optane"" ""File+System""",Yes,,,,
Performance comparison of daos and lustre for object data storage approaches,https://ieeexplore.ieee.org/abstract/document/10027152/,2022,6,"""Optane"" ""File+System""",Yes,,,,
BPF for storage: an exokernel-inspired approach,https://dl.acm.org/doi/abs/10.1145/3458336.3465290,2021,32,"""Optane"" ""File+System""",Yes,,,,
Libpubl: exploiting persistent user buffers as logs for write atomicity,https://dl.acm.org/doi/abs/10.1145/3465332.3470874,2021,0,"""Optane"" ""File+System""",Yes,,,,
Performance analysis of 3D XPoint SSDs in virtualized and non-virtualized environments,https://ieeexplore.ieee.org/abstract/document/8644859/,2018,19,"""Optane"" ""File+System""",No,,,,
HashTag: Fast Lookup in a Persistent Memory File System,https://ieeexplore.ieee.org/abstract/document/9926368/,2022,0,"""Optane"" ""File+System""",Yes,,,,
Hydra: A decentralized file system for persistent memory and RDMA networks,https://ieeexplore.ieee.org/abstract/document/9792291/,2022,5,"""Optane"" ""File+System""",Yes,,,,
"Don't Maintain Twice, It's Alright: Merged Metadata Management in Deduplication File System with {GogetaFS}",https://www.usenix.org/conference/fast25/presentation/pan,2025,0,"""Optane"" ""File+System""",Yes,,,,
Exploring the Viability of Composable Architectures to Overcome Memory Limitations in High Performance Computing Workflows,https://dl.acm.org/doi/abs/10.1145/3626203.3670620,2024,0,"""Optane"" ""File+System""",Yes,,,,
CHFS: Parallel consistent hashing file system for node-local persistent memory,https://dl.acm.org/doi/abs/10.1145/3492805.3492807,2022,29,"""Optane"" ""File+System""",Yes,,,,
Platform storage performance with 3D XPoint technology,https://ieeexplore.ieee.org/abstract/document/8003284/,2017,302,"""Optane"" ""File+System""",No,,,,
LineFS: Efficient SmartNIC Offload of a Distributed File System with Pipeline Parallelism,http://nvmw.ucsd.edu/nvmw2022-program/nvmw2022-data/nvmw2022-paper32-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""File+System""",No,,,,
{SquirrelFS}: using the Rust compiler to check file-system crash consistency,https://www.usenix.org/conference/osdi24/presentation/leblanc,2024,3,"""Optane"" ""File+System""",Yes,,,,
Siberian supercomputer center as a service for bioinformatics research,https://conf.icgbio.ru/bgrssb2018/wp-content/uploads/sites/35/2017/01/MM-HPC-BBB-2018.pdf#page=17,2018,0,"""Optane"" ""File+System""",No,,,,
Delaying Crash Consistency for Building A High-Performance Persistent Memory File System,https://ieeexplore.ieee.org/abstract/document/10466391/,2024,2,"""Optane"" ""File+System""",Yes,,,,
A High-Performance and Scalable Userspace Log-Structured File System for Modern SSDs,https://dl.acm.org/doi/abs/10.1145/3728645,2025,0,"""Optane"" ""File+System""",Yes,,,,
NapFS: A High-Performance NUMA-Aware PM File System,https://ieeexplore.ieee.org/abstract/document/9978463/,2022,1,"""Optane"" ""File+System""",Yes,,,,
Cheetah: An Adaptive User-Space Cache for Non-volatile Main Memory File Systems,https://link.springer.com/chapter/10.1007/978-3-030-85896-4_17,2021,0,"""Optane"" ""File+System""",Yes,,,,
Beaver: A High-Performance and Crash-Consistent File System Cache via PM-DRAM Collaborative Memory Tiering,https://dl.acm.org/doi/abs/10.1145/3700414,2024,0,"""Optane"" ""File+System""",Yes,,,,
Reducing relational database performance bottlenecks using 3D XPoint storage technology,https://ieeexplore.ieee.org/abstract/document/8456140/,2018,12,"""Optane"" ""File+System""",No,,,,
A Connectivity Reduction Based Optimization Method for Task Level Parallel File System,https://ieeexplore.ieee.org/abstract/document/9972985/,2022,0,"""Optane"" ""File+System""",Yes,,,,
NVMulator: A configurable open-source non-volatile memory emulator for FPGAs,https://link.springer.com/chapter/10.1007/978-3-031-42921-7_3,2023,2,"""Optane"" ""File+System""",Yes,,,,
Cascade lake: Next generation intel xeon scalable processor,https://ieeexplore.ieee.org/abstract/document/8641463/,2019,97,"""Optane"" ""File+System""",Yes,,,,
Persistent memory based and feature rich file system design,https://ieeexplore.ieee.org/abstract/document/8646066/,2018,1,"""Optane"" ""File+System""",No,,,,
Towards Enhanced I/O Performance of NVM File Systems,https://ieeexplore.ieee.org/abstract/document/10487081/,2023,0,"""Optane"" ""File+System""",Yes,,,,
DaxVM: Stressing the limits of memory as a file interface,https://ieeexplore.ieee.org/abstract/document/9923852/,2022,17,"""Optane"" ""File+System""",Yes,,,,
Cfs: Scaling metadata service for distributed file system via pruned scope of critical sections,https://dl.acm.org/doi/abs/10.1145/3552326.3587443,2023,11,"""Optane"" ""File+System""",Yes,,,,
Max: A {Multicore-Accelerated} file system for flash storage,https://www.usenix.org/conference/atc21/presentation/liao,2021,36,"""Optane"" ""File+System""",Yes,,,,
A Two Tier Hybrid Metadata Management Mechanism for NVM Storage System,https://link.springer.com/chapter/10.1007/978-3-030-93571-9_16,2021,0,"""Optane"" ""File+System""",Yes,,,,
Towards low-latency I/O services for mixed workloads using ultra-low latency SSDs,https://dl.acm.org/doi/abs/10.1145/3524059.3532378,2022,12,"""Optane"" ""File+System""",Yes,,,,
{CompoundFS}: Compounding {I/O} Operations in Firmware File Systems,https://www.usenix.org/conference/hotstorage20/presentation/ren,2020,7,"""Optane"" ""File+System""",Yes,,,,
ITEC-OS Studium und Lehre-Bachelor-and Masterarbeiten-Abgeschlossene Arbeiten-GPU4FS: A Graphics Processor-Accelerated File System,https://os.itec.kit.edu/deutsch/97_3851.php,2022,0,"""Optane"" ""File+System""",Yes,,,,
"{EvFS}: User-level,{Event-Driven} File System for {Non-Volatile} Memory",https://www.usenix.org/conference/hotstorage19/presentation/yoshimura,2019,32,"""Optane"" ""File+System""",Yes,,,,
Revitalizing the Forgotten {On-Chip}{DMA} to Expedite Data Movement in {NVM-based} Storage Systems,https://www.usenix.org/conference/fast23/presentation/su,2023,11,"""Optane"" ""File+System""",Yes,,,,
Finchfs: A High-Performance Ad-Hoc File System Balancing Metadata Scalability and Rename Flexibility,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5165945,,0,"""Optane"" ""File+System""",No,,,,
AUGEFS: A Scalable Userspace Log-Structured File System for Modern SSDs,https://www.msstconference.org/MSST-history/2024/Papers/msst24-7.2.pdf,,0,"""Optane"" ""File+System""",No,,,,
DAOS as HPC Storage: Exploring Interfaces,https://ieeexplore.ieee.org/abstract/document/10321870/,2023,4,"""Optane"" ""File+System""",Yes,,,,
Persistent Memory File Systems: A Survey,https://arxiv.org/abs/2310.02880,2023,0,"""Optane"" ""File+System""",Yes,,,,
NVMFS-IOzone: Performance evaluation for the new NVMM-based file systems,https://dl.acm.org/doi/abs/10.1145/3383669.3398281,2020,2,"""Optane"" ""File+System""",Yes,,,,
pNOVA: Optimizing shared file I/O operations of NVM file system on manycore servers,https://dl.acm.org/doi/abs/10.1145/3343737.3343748,2019,20,"""Optane"" ""File+System""",Yes,,,,
Challenges and Considerations in Data Recovery from Solid State Media: A Comparative Analysis with Traditional Devices,https://ieeexplore.ieee.org/abstract/document/10538524/,2023,0,"""Optane"" ""File+System""",Yes,,,,
25 Years of Storage Research and Education: A Retrospective.,https://www.usenix.org/system/files/fast22-slides-keynote-aparci-dusseau.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
Analysis and Mitigation of Data Sanitization Overhead in DAX File Systems,https://ieeexplore.ieee.org/abstract/document/9978507/,2022,0,"""Optane"" ""File+System""",Yes,,,,
HAMS: Hardware Automated Memory-over-Storage for Large-scale Memory Expansion,http://nvmw.ucsd.edu/nvmw2022-program/nvmw2022-data/nvmw2022-paper31-final_version_your_extended_abstract.pdf,2022,0,"""Optane"" ""File+System""",Yes,,,,
